LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:45:06 0                 
Time Ampl
9.98716797e-007 2.24414e-015
9.98720703e-007 -7.51953e-017
9.98724609e-007 -4.41406e-016
9.98728516e-007 -3.12695e-015
9.98732422e-007 -3.98145e-015
9.98736328e-007 -4.71387e-015
9.98740234e-007 -3.24902e-015
9.98744141e-007 -6.05664e-015
9.98748047e-007 -5.8125e-015
9.98751953e-007 -8.86426e-015
9.98755859e-007 -8.62012e-015
9.98759766e-007 -9.47461e-015
9.98763672e-007 -9.71875e-015
9.98767578e-007 -1.11836e-014
9.98771484e-007 -1.15498e-014
9.98775391e-007 -1.54561e-014
9.98779297e-007 -1.65547e-014
9.98783203e-007 -1.93623e-014
9.98787109e-007 -1.86299e-014
9.98791016e-007 -2.04609e-014
9.98794922e-007 -2.0583e-014
9.98798828e-007 -2.25361e-014
9.98802734e-007 -2.47334e-014
9.98806641e-007 -2.53437e-014
9.98810547e-007 -2.76631e-014
9.98814453e-007 -2.91279e-014
9.98818359e-007 -3.32783e-014
9.98822266e-007 -3.48652e-014
9.98826172e-007 -3.42549e-014
9.98830078e-007 -3.60859e-014
9.98833984e-007 -3.75508e-014
9.98837891e-007 -4.21895e-014
9.98841797e-007 -4.32881e-014
9.98845703e-007 -4.45088e-014
9.98849609e-007 -4.49971e-014
9.98853516e-007 -4.37764e-014
9.98857422e-007 -4.3166e-014
9.98861328e-007 -4.25557e-014
9.98865234e-007 -4.26777e-014
9.98869141e-007 -4.36543e-014
9.98873047e-007 -4.73164e-014
9.98876953e-007 -4.89033e-014
9.98880859e-007 -4.91475e-014
9.98884766e-007 -5.03682e-014
9.98888672e-007 -5.25654e-014
9.98892578e-007 -5.50068e-014
9.98896484e-007 -5.54951e-014
9.98900391e-007 -5.67158e-014
9.98904297e-007 -5.8791e-014
9.98908203e-007 -6.02559e-014
9.98912109e-007 -6.17207e-014
9.98916016e-007 -6.26973e-014
9.98919922e-007 -6.68477e-014
9.98923828e-007 -6.83125e-014
9.98927734e-007 -6.81904e-014
9.98931641e-007 -6.97773e-014
9.98935547e-007 -7.07539e-014
9.98939453e-007 -7.11201e-014
9.98943359e-007 -7.13643e-014
9.98947266e-007 -7.38057e-014
