LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:31:16 0                 
Time Ampl
9.98716797e-007 8.33008e-016
9.98720703e-007 -3.87695e-016
9.98724609e-007 -9.98047e-016
9.98728516e-007 -3.43945e-015
9.98732422e-007 -4.0498e-015
9.98736328e-007 -4.0498e-015
9.98740234e-007 -1.6084e-015
9.98744141e-007 -2.21875e-015
9.98748047e-007 -3.43945e-015
9.98751953e-007 -2.8291e-015
9.98755859e-007 -2.8291e-015
9.98759766e-007 -4.66016e-015
9.98763672e-007 -4.0498e-015
9.98767578e-007 -2.8291e-015
9.98771484e-007 -4.0498e-015
9.98775391e-007 -2.21875e-015
9.98779297e-007 -4.0498e-015
9.98783203e-007 -4.0498e-015
9.98787109e-007 -3.43945e-015
9.98791016e-007 -2.8291e-015
9.98794922e-007 -9.98047e-016
9.98798828e-007 -9.98047e-016
9.98802734e-007 -3.87695e-016
9.98806641e-007 2.22656e-016
9.98810547e-007 -2.21875e-015
9.98814453e-007 -1.6084e-015
9.98818359e-007 -4.0498e-015
9.98822266e-007 -4.66016e-015
9.98826172e-007 -5.27051e-015
9.98830078e-007 -5.27051e-015
9.98833984e-007 -5.88086e-015
9.98837891e-007 -5.27051e-015
9.98841797e-007 -7.10156e-015
9.98845703e-007 -5.27051e-015
9.98849609e-007 -4.0498e-015
9.98853516e-007 -3.43945e-015
9.98857422e-007 -2.21875e-015
9.98861328e-007 -2.21875e-015
9.98865234e-007 -2.8291e-015
9.98869141e-007 -1.6084e-015
9.98873047e-007 -1.6084e-015
9.98876953e-007 -3.87695e-016
9.98880859e-007 -3.87695e-016
9.98884766e-007 -3.87695e-016
9.98888672e-007 -9.98047e-016
9.98892578e-007 -2.21875e-015
9.98896484e-007 -2.8291e-015
9.98900391e-007 -4.66016e-015
9.98904297e-007 -4.0498e-015
9.98908203e-007 -2.21875e-015
9.98912109e-007 -9.98047e-016
9.98916016e-007 8.33008e-016
9.98919922e-007 -3.87695e-016
9.98923828e-007 1.44336e-015
9.98927734e-007 2.66406e-015
9.98931641e-007 2.05371e-015
9.98935547e-007 2.66406e-015
9.98939453e-007 1.44336e-015
9.98943359e-007 2.22656e-016
9.98947266e-007 -9.98047e-016
9.98951172e-007 -1.6084e-015
9.98955078e-007 -2.21875e-015
9.98958984e-007 -1.6084e-015
9.98962891e-007 -2.21875e-015
9.98966797e-007 -1.6084e-015
9.98970703e-007 -2.8291e-015
9.98974609e-007 -3.43945e-015
9.98978516e-007 -2.8291e-015
9.98982422e-007 -2.8291e-015
9.98986328e-007 -1.6084e-015
9.98990234e-007 -2.21875e-015
9.98994141e-007 -3.87695e-016
9.98998047e-007 2.22656e-016
9.99001953e-007 -3.87695e-016
9.99005859e-007 -3.87695e-016
9.99009766e-007 -3.87695e-016
9.99013672e-007 2.22656e-016
9.99017578e-007 1.44336e-015
9.99021484e-007 2.05371e-015
9.99025391e-007 8.33008e-016
9.99029297e-007 2.05371e-015
9.99033203e-007 2.22656e-016
9.99037109e-007 8.33008e-016
9.99041016e-007 1.44336e-015
9.99044922e-007 8.33008e-016
9.99048828e-007 1.44336e-015
9.99052734e-007 2.66406e-015
9.99056641e-007 2.05371e-015
9.99060547e-007 2.66406e-015
9.99064453e-007 5.10547e-015
9.99068359e-007 4.49512e-015
9.99072266e-007 4.49512e-015
9.99076172e-007 5.71582e-015
9.99080078e-007 5.71582e-015
9.99083984e-007 6.32617e-015
9.99087891e-007 5.10547e-015
9.99091797e-007 4.49512e-015
9.99095703e-007 5.10547e-015
9.99099609e-007 4.49512e-015
9.99103516e-007 5.71582e-015
9.99107422e-007 6.93652e-015
9.99111328e-007 8.76758e-015
9.99115234e-007 9.98828e-015
9.99119141e-007 1.05986e-014
9.99123047e-007 8.76758e-015
9.99126953e-007 9.98828e-015
9.99130859e-007 9.98828e-015
9.99134766e-007 1.1209e-014
9.99138672e-007 1.24297e-014
9.99142578e-007 1.1209e-014
9.99146484e-007 1.18193e-014
9.99150391e-007 1.1209e-014
9.99154297e-007 1.18193e-014
9.99158203e-007 1.18193e-014
9.99162109e-007 1.304e-014
9.99166016e-007 1.304e-014
9.99169922e-007 1.24297e-014
9.99173828e-007 1.24297e-014
9.99177734e-007 1.24297e-014
9.99181641e-007 1.24297e-014
9.99185547e-007 1.54814e-014
9.99189453e-007 1.42607e-014
9.99193359e-007 1.42607e-014
9.99197266e-007 1.42607e-014
9.99201172e-007 1.48711e-014
9.99205078e-007 1.36504e-014
9.99208984e-007 1.42607e-014
9.99212891e-007 1.42607e-014
9.99216797e-007 1.304e-014
9.99220703e-007 1.54814e-014
9.99224609e-007 1.60918e-014
9.99228516e-007 1.54814e-014
9.99232422e-007 1.67021e-014
9.99236328e-007 1.79229e-014
9.99240234e-007 1.79229e-014
9.99244141e-007 1.67021e-014
9.99248047e-007 1.60918e-014
9.99251953e-007 1.67021e-014
9.99255859e-007 1.60918e-014
9.99259766e-007 1.42607e-014
9.99263672e-007 1.48711e-014
9.99267578e-007 1.48711e-014
9.99271484e-007 1.42607e-014
9.99275391e-007 1.42607e-014
9.99279297e-007 1.73125e-014
9.99283203e-007 1.73125e-014
9.99287109e-007 1.79229e-014
9.99291016e-007 1.79229e-014
9.99294922e-007 1.91436e-014
9.99298828e-007 1.85332e-014
9.99302734e-007 2.09746e-014
9.99306641e-007 2.1585e-014
9.99310547e-007 2.21953e-014
9.99314453e-007 2.46367e-014
9.99318359e-007 2.52471e-014
9.99322266e-007 2.52471e-014
9.99326172e-007 2.40264e-014
9.99330078e-007 2.3416e-014
9.99333984e-007 2.52471e-014
9.99337891e-007 2.46367e-014
9.99341797e-007 2.3416e-014
9.99345703e-007 2.21953e-014
9.99349609e-007 2.21953e-014
9.99353516e-007 2.1585e-014
9.99357422e-007 1.91436e-014
9.99361328e-007 1.67021e-014
9.99365234e-007 1.67021e-014
9.99369141e-007 1.67021e-014
9.99373047e-007 1.42607e-014
9.99376953e-007 1.24297e-014
9.99380859e-007 9.37793e-015
9.99384766e-007 5.71582e-015
9.99388672e-007 2.66406e-015
9.99392578e-007 -2.21875e-015
9.99396484e-007 -4.0498e-015
9.99400391e-007 -5.88086e-015
9.99404297e-007 -9.54297e-015
9.99408203e-007 -1.1374e-014
9.99412109e-007 -1.68672e-014
9.99416016e-007 -1.86982e-014
9.99419922e-007 -2.41914e-014
9.99423828e-007 -2.72432e-014
9.99427734e-007 -3.15156e-014
9.99431641e-007 -3.51777e-014
9.99435547e-007 -3.82295e-014
9.99439453e-007 -4.31123e-014
9.99443359e-007 -4.67744e-014
9.99447266e-007 -5.16572e-014
9.99451172e-007 -5.4709e-014
9.99455078e-007 -5.654e-014
9.99458984e-007 -5.83711e-014
9.99462891e-007 -5.71504e-014
9.99466797e-007 -5.77607e-014
9.99470703e-007 -6.20332e-014
9.99474609e-007 -6.87471e-014
9.99478516e-007 -8.82783e-014
9.99482422e-007 -1.56638e-013
9.99486328e-007 -3.48898e-013
9.99490234e-007 -7.83469e-013
9.99494141e-007 -1.5342e-012
9.99498047e-007 -2.54006e-012
